,Image,Response,Time,Q1 Label,Q2 Label,Q3 Label,Q4 Label
46,HBY153.JPG,[4],9.726,Correct rejection,Correct rejection,Miss,Hit
47,HBR37.JPG,[2],7.021,Correct rejection,Hit,Correct rejection,Correct rejection
48,HBY139.JPG,"[1, 3, 4]",2.414,Hit,Correct rejection,False alarm,False alarm
49,HBG28.JPG,"[1, 2]",2.211,Hit,Hit,Correct rejection,Correct rejection
50,HBG93.JPG,"[2, 3]",2.212,Correct rejection,Hit,Hit,Correct rejection
51,HBY84.JPG,"[1, 2, 4]",4.728,Hit,Hit,Correct rejection,False alarm
52,HBY174.JPG,"[1, 2, 3, 4]",6.830,Hit,Hit,Hit,Hit
53,HBR32.JPG,"[2, 4]",3.814,Miss,Hit,Correct rejection,False alarm
54,HBR24.JPG,"[1, 4]",5.817,Hit,Miss,Miss,Hit
55,HBR22.JPG,"[1, 2, 3]",6.239,False alarm,Hit,Hit,Correct rejection
56,HBY162.JPG,"[1, 3, 4]",4.517,Hit,Miss,Hit,Hit
57,HBG436.JPG,"[1, 3, 4]",3.915,Hit,Correct rejection,Hit,Hit
58,HBG215.JPG,"[2, 3, 4]",5.730,Correct rejection,Hit,Hit,False alarm
59,HBY119.JPG,"[1, 2, 3, 4]",5.223,False alarm,Hit,False alarm,False alarm
60,HBG447.JPG,"[1, 3, 4]",2.414,Hit,Correct rejection,Hit,Hit
61,HBG310.JPG,"[1, 4]",5.325,Hit,Miss,Correct rejection,Hit
62,HBY101.JPG,[1],4.919,Hit,Miss,Miss,Miss
63,HBG178.JPG,"[1, 3]",3.114,False alarm,Miss,Hit,Correct rejection
64,HBY106.JPG,"[1, 2, 4]",4.318,Hit,Hit,Miss,False alarm
65,HBR25.JPG,[1],6.513,Hit,Miss,Correct rejection,Correct rejection
66,HBY20.JPG,"[1, 2, 3, 4]",2.723,Hit,Hit,Hit,Hit
67,HBY103.JPG,"[1, 2, 3, 4]",3.925,False alarm,False alarm,Hit,Hit
68,HBG84.JPG,"[1, 2, 3, 4]",8.640,Hit,Hit,Hit,Hit
69,HBY94.JPG,"[1, 2]",7.921,Hit,Hit,Correct rejection,Correct rejection
70,HBY116.JPG,"[1, 4]",3.614,Hit,Correct rejection,Correct rejection,Hit
71,HBG88.JPG,"[1, 3]",5.026,Hit,Correct rejection,Hit,Miss
72,HBG442.JPG,[3],6.520,Miss,Correct rejection,Hit,Correct rejection
73,HBY25.JPG,"[1, 3, 4]",4.517,Hit,Miss,Hit,Hit
74,HBY111.JPG,"[1, 2, 3, 4]",4.023,Hit,Hit,Hit,Hit
75,HBR42.JPG,"[1, 2, 3]",5.020,Hit,Hit,Hit,Correct rejection
76,HBY56.JPG,"[1, 2]",5.216,Hit,Hit,Correct rejection,Correct rejection
77,HBY24.JPG,"[3, 4]",6.627,Miss,Correct rejection,False alarm,Hit
78,HBG44.JPG,"[1, 4]",2.312,Hit,Correct rejection,Correct rejection,Hit
79,HBY143.JPG,[4],2.609,Correct rejection,Miss,Correct rejection,Hit
80,HBY22.JPG,"[1, 2, 3, 4]",3.322,Hit,Hit,False alarm,False alarm
81,HBY35.JPG,"[1, 2, 3, 4]",3.423,Hit,Hit,Hit,False alarm
82,HBG510.JPG,"[1, 2]",2.812,Hit,Hit,Correct rejection,Correct rejection
83,HBG425.JPG,[1],1.705,Hit,Miss,Correct rejection,Correct rejection
84,HBR26.JPG,[2],8.417,Correct rejection,Hit,Correct rejection,Correct rejection
85,HBR30.JPG,"[2, 3]",12.026,Correct rejection,Hit,Hit,Correct rejection
86,HBY160.JPG,"[1, 3, 4]",3.324,Hit,Miss,Hit,Hit
87,HBR38.JPG,"[1, 3, 4]",2.515,Hit,Correct rejection,Hit,Hit
88,HBY23.JPG,"[1, 4]",4.415,Hit,Correct rejection,Correct rejection,Hit
89,HBG214.JPG,"[1, 4]",9.832,False alarm,Miss,Correct rejection,False alarm
90,HBY163.JPG,"[1, 2, 3]",3.416,Hit,Hit,Hit,Miss
91,HBG69.JPG,"[3, 4]",4.616,Correct rejection,Correct rejection,Hit,Hit
92,HBY140.JPG,"[1, 4]",6.917,Hit,Miss,Miss,Hit
93,HBY151.JPG,"[1, 2, 3, 4]",4.128,Hit,Hit,Hit,Hit
94,HBY127.JPG,"[1, 2, 3, 4]",3.319,Hit,Hit,Hit,False alarm
95,HBG55.JPG,"[2, 3, 4]",4.019,Miss,Hit,Hit,Hit
96,HBY89.JPG,"[1, 2, 3, 4]",3.123,Hit,Hit,Hit,Hit
97,HBG133.JPG,[2],9.520,Correct rejection,Hit,Correct rejection,Correct rejection
98,HBG2.JPG,[3],4.811,Correct rejection,Correct rejection,Hit,Correct rejection
99,HBY159.JPG,"[1, 2, 3, 4]",3.821,Hit,Hit,Hit,Hit
100,HBG292.JPG,"[3, 4]",5.617,Correct rejection,Miss,False alarm,False alarm
101,HBG380.JPG,"[3, 4]",4.814,Correct rejection,Correct rejection,Hit,Hit
102,HBY69.JPG,"[1, 2, 3, 4]",2.723,Hit,Hit,Hit,Hit
103,HBG175.JPG,"[1, 2, 3]",2.717,False alarm,Hit,Hit,Correct rejection
104,HBR34.JPG,"[2, 3, 4]",6.123,Correct rejection,Hit,Hit,Hit
105,HBY85.JPG,"[1, 2, 3]",6.940,Hit,Hit,False alarm,Correct rejection
106,HBY52.JPG,"[1, 2, 3]",3.517,Hit,Hit,Hit,Correct rejection
